ID      CHECKED_OUT_BOOK
164     A_Spy_Skills:Facts_And_Fiction
250     A_History_Of_War:How_And_Why
179     The_Spy_Skills:Nature_Or_Nurture?
290     How_To_Use_Video_Games:Abridged_Version
232     A_Cheese:A_Confusing_Topic
153     A_Guide_To_Automobiles:Nature_Or_Nurture?
119     The_Dinosaurs:The_True_Meaning
119     Don't_Stare_At_Cheese:A_Question_With_No_Answer
274     The_Spy_Skills:Nature_Or_Nurture?
136     The_Spy_Skills:Nature_Or_Nurture?
290     Don't_Stare_At_Asparagus:A_Question_With_No_Answer
108     How_To_Use_Asparagus
237     Why_Is_There_Spy_Skills:A_Question_With_No_Answer
174     Learn_All_About_Spy_Skills:Nature_Or_Nurture?
286     Pros_And_Cons_Of_80s_Movies:The_True_Meaning
230     Learn_All_About_War:A_Brief_Synopsis
200     A_History_Of_English:How_And_Why
190     Learn_All_About_Coffee:Abridged_Version
280     A_Guide_To_80s_Movies:How_And_Why
249     A_Guide_To_80s_Movies:How_And_Why
299     Don't_Stare_At_Spy_Skills:Nature_Or_Nurture?
187     A_80s_Movies:How_And_Why
289     Pros_And_Cons_Of_War:A_Brief_Synopsis
293     Investigating_Automobiles:Abridged_Version
242     How_To_Use_War:A_Confusing_Topic
170     Why_Is_There_Dinosaurs:A_Confusing_Topic
227     The_Asparagus:Abridged_Version
155     Investigating_English:Nature_Or_Nurture?
178     A_Guide_To_Asparagus:A_Confusing_Topic
138     Pros_And_Cons_Of_Spy_Skills:How_And_Why
253     Investigating_English:Nature_Or_Nurture?
119     Investigating_Asparagus:Facts_And_Fiction
253     A_War:A_Question_With_No_Answer
285     A_Guide_To_Coffee:Nature_Or_Nurture?
146     Learn_All_About_Coffee:The_True_Meaning
298     A_Spy_Skills:Nature_Or_Nurture?
141     A_Guide_To_Automobiles:A_Confusing_Topic
269     A_War:A_Question_With_No_Answer
244     The_Video_Games:Nature_Or_Nurture?
245     A_History_Of_English:Facts_And_Fiction
195     Learn_All_About_Asparagus:Abridged_Version
175     Learn_All_About_Coffee:The_True_Meaning
298     The_Coffee
291     A_History_Of_War:Abridged_Version
113     Investigating_Asparagus:Facts_And_Fiction
145     Learn_All_About_Coffee:The_True_Meaning
249     Investigating_War:Facts_And_Fiction
272     How_To_Use_Spy_Skills:How_And_Why
179     How_To_Use_Cheese:Here_And_Now
288     A_Asparagus
295     How_To_Use_80s_Movies:The_True_Meaning
175     Don't_Stare_At_Cheese:Here_And_Now
124     The_English:Facts_And_Fiction
119     Why_Is_There_Video_Games:A_Question_With_No_Answer
210     Pros_And_Cons_Of_Coffee:A_Brief_Synopsis
211     A_Guide_To_English
184     A_History_Of_Video_Games:Nature_Or_Nurture?
280     The_Video_Games:Nature_Or_Nurture?
218     Don't_Stare_At_Spy_Skills:Nature_Or_Nurture?
163     The_80s_Movies:The_True_Meaning
204     The_Video_Games:The_True_Meaning
149     Don't_Stare_At_Dinosaurs:Abridged_Version
225     Investigating_80s_Movies:Facts_And_Fiction
209     Why_Is_There_Video_Games:A_Confusing_Topic
230     Don't_Stare_At_Asparagus:A_Question_With_No_Answer
182     A_Spy_Skills:Nature_Or_Nurture?
136     Don't_Stare_At_Cheese:Here_And_Now
215     A_History_Of_Video_Games:A_Confusing_Topic
254     A_Spy_Skills:Nature_Or_Nurture?
232     A_Guide_To_Coffee:Nature_Or_Nurture?
103     A_History_Of_Video_Games:A_Confusing_Topic
122     Investigating_Coffee:Facts_And_Fiction
283     Don't_Stare_At_Automobiles:Here_And_Now
174     Investigating_Dinosaurs
178     Pros_And_Cons_Of_Spy_Skills:How_And_Why
236     A_Guide_To_Automobiles:Nature_Or_Nurture?
298     A_History_Of_English:How_And_Why
289     The_War:A_Question_With_No_Answer
107     The_English:Facts_And_Fiction
180     A_History_Of_English:How_And_Why
247     A_Guide_To_Asparagus:A_Confusing_Topic
115     How_To_Use_Spy_Skills:How_And_Why
123     Learn_All_About_War:A_Brief_Synopsis
247     Investigating_War:Facts_And_Fiction
117     Pros_And_Cons_Of_War:Here_And_Now
246     Why_Is_There_Dinosaurs:A_Confusing_Topic
176     Investigating_Coffee:Facts_And_Fiction
112     Pros_And_Cons_Of_War:A_Brief_Synopsis
175     How_To_Use_Spy_Skills:A_Confusing_Topic
164     A_History_Of_War:Nature_Or_Nurture?
276     Investigating_English:Nature_Or_Nurture?
189     Don't_Stare_At_Asparagus:The_True_Meaning
285     A_War:A_Question_With_No_Answer
150     The_Coffee:A_Confusing_Topic
228     Learn_All_About_War:A_Brief_Synopsis
182     The_80s_Movies:The_True_Meaning
296     Learn_All_About_Cheese:Abridged_Version
111     The_War:Here_And_Now
280     Learn_All_About_English:The_True_Meaning
153     How_To_Use_Cheese:Here_And_Now
290     Don't_Stare_At_War:The_True_Meaning
269     Why_Is_There_Dinosaurs:Nature_Or_Nurture?
171     Don't_Stare_At_Cheese:A_Question_With_No_Answer
129     How_To_Use_Asparagus
121     Investigating_Asparagus:Facts_And_Fiction
153     A_History_Of_Asparagus:Abridged_Version
145     A_Automobiles:Facts_And_Fiction
176     A_Guide_To_War:Facts_And_Fiction
272     A_Automobiles:Facts_And_Fiction
179     The_Video_Games:The_True_Meaning
260     Don't_Stare_At_80s_Movies:Abridged_Version
179     The_English:Facts_And_Fiction
263     The_English:Facts_And_Fiction
131     A_History_Of_English:Facts_And_Fiction
101     A_History_Of_Video_Games:A_Confusing_Topic
192     Learn_All_About_Dinosaurs:Abridged_Version
287     How_To_Use_Cheese:Here_And_Now
262     Pros_And_Cons_Of_War:A_Brief_Synopsis
247     A_History_Of_Video_Games:Here_And_Now
258     Pros_And_Cons_Of_War:Here_And_Now
289     Don't_Stare_At_Spy_Skills:Nature_Or_Nurture?
170     Pros_And_Cons_Of_80s_Movies:Here_And_Now
157     Why_Is_There_Dinosaurs:Nature_Or_Nurture?
269     Don't_Stare_At_Cheese:Nature_Or_Nurture?
